amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,Sharpe_Ratio,Alpha,Maximum_Drawdown,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Fund_Score
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.54,1.2082665673727175,0.23201007160635082,-0.1501238549864533,26.0,4.0,10.0,24.0,17.0,66.36
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,1.6,1.0272133278753697,0.21399784776051212,-0.11291596329323073,22.0,9.0,12.0,29.0,9.0,64.5
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,1.52,0.9262873467360146,0.20873010086942337,-0.1527259422823477,19.0,15.0,14.0,22.0,19.0,60.09
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.66,0.9532794968660103,0.1986859936686296,-0.11803493502764295,34.0,12.0,15.0,4.0,11.0,58.0
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,1.53,0.4484340089089914,0.1750072167561127,-0.2334488614483311,5.0,26.0,18.0,23.0,32.0,56.38
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.92,0.7757902498211207,0.17729754927531766,-0.15200013055606398,24.0,18.0,16.0,13.0,18.0,54.52
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,1.41,0.6488787755249532,0.1625385327998104,-0.1982565826298267,18.0,20.0,20.0,16.0,27.0,50.58
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.78,0.3006119210425478,0.11989100971217971,-0.21117279560132118,14.0,27.0,26.0,9.0,29.0,46.4
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.72,-0.05718662582817997,0.048824215945539845,-0.5257422117012851,2.0,32.0,36.0,5.0,40.0,45.71
101207,ABSL Small Cap Fund - Regular - Growth,22.38,1.53,0.1626607692864677,0.10897091901704538,-0.3544691649336603,3.0,28.0,27.0,23.0,38.0,45.71
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.72,0.6452074382933215,0.15643835948169668,-0.18629743138595511,27.0,21.0,22.0,5.0,26.0,43.16
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,1.64,0.6195175900829828,0.16211256794033255,-0.21539827112383225,13.0,22.0,21.0,31.0,30.0,42.46
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,1.42,0.7979728586052847,0.17703302365844073,-0.13897862823061635,33.0,17.0,17.0,17.0,14.0,41.3
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,1.57,0.8170993373494368,0.17048756803412696,-0.1085986215250232,30.0,16.0,19.0,27.0,7.0,41.07
118635,Nippon India ETF Nifty 50 BeES,11.77,0.89,0.6648569985490619,0.1513635464823924,-0.1165062450540909,32.0,19.0,23.0,12.0,10.0,40.14
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,1.56,0.07599984804658917,0.0780443887615508,-0.24003511326274884,7.0,30.0,29.0,26.0,33.0,36.19
119095,Axis Small Cap Fund - Regular - Growth,20.98,1.38,-0.07597357117478923,0.048015953637759554,-0.5167775370852656,4.0,33.0,37.0,15.0,39.0,34.34
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,0.74,0.4957233929533124,0.06746210411099539,-0.0009773140045925555,35.0,23.0,31.0,6.0,1.0,32.25
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,1.54,0.4640374492204777,0.13173190226099432,-0.14844576917771746,25.0,25.0,24.0,24.0,16.0,30.86
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.75,0.12961449795669325,0.08232801295222093,-0.21751396370148224,29.0,29.0,28.0,7.0,31.0,21.81
120841,Kotak Bluechip Fund - Regular - Growth,12.25,1.59,0.49427253786723496,0.13042924450705445,-0.1757361416468729,28.0,24.0,25.0,28.0,24.0,20.42
120844,Kotak Liquid Fund - Regular - Growth,6.18,0.6,-0.08874729621557331,0.06455677495375998,-0.0011629327956168556,37.0,34.0,32.0,3.0,2.0,17.4
102886,UTI Mid Cap Fund - Regular - Growth,15.61,1.51,-0.20583160785470314,0.028969397866379445,-0.2800112356639287,12.0,36.0,40.0,21.0,35.0,14.62
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.55,-0.2015170675596694,0.03747580763443281,-0.24734440880673303,16.0,35.0,39.0,25.0,34.0,8.82
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,0.56,-0.5670947928476847,0.042817920315060876,-0.04308263824636349,36.0,39.0,38.0,2.0,4.0,7.19
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,0.55,-0.356629507514368,0.05074772999976104,-0.08316361763638702,39.0,38.0,35.0,1.0,6.0,6.73
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,0.77,-0.22657538662791596,0.05620895216638369,-0.04328728923970093,38.0,37.0,34.0,8.0,5.0,5.8
119092,Axis Bluechip Fund - Regular - Growth,11.84,1.64,0.030784850954585913,0.0689952982167755,-0.1440161790933726,31.0,31.0,30.0,31.0,15.0,5.57
101208,ABSL Liquid Fund - Regular - Growth,5.14,0.79,-0.8155673679088278,0.060861457957871144,-0.0016224980244717857,40.0,40.0,33.0,10.0,3.0,0.0
